RTC Timestamp (UTC),Compressed Image Filename,Raw File Size (bytes),Compressed File Size (bytes),Compression Quality,Number of Buffers,Execution Time (minutes),Within Time Window,CPU Temp (Â°C)
2024-12-15T19:40:18Z,2024-12-16T03:40:21Z_image_compressed.heic,50349,4707,25,21,1.92,True,47.80
2024-12-15T19:57:11Z,2024-12-16T03:57:14Z_image_compressed.heic,50400,4766,25,22,2.00,True,47.80
2024-12-15T20:05:11Z,2024-12-16T04:05:14Z_image_compressed.heic,50476,4739,25,22,2.02,True,48.30
2024-12-15T20:26:12Z,2024-12-16T04:26:15Z_image_compressed.heic,51259,4894,25,22,2.01,True,48.30
2024-12-15T20:33:28Z,2024-12-16T04:33:31Z_image_compressed.heic,51116,4821,25,22,2.02,True,47.80
2024-12-15T20:37:27Z,2024-12-16T04:37:30Z_image_compressed.heic,51100,4751,25,22,2.02,True,48.30
2024-12-15T21:29:28Z,2024-12-16T05:29:31Z_image_compressed.heic,50924,4681,25,21,1.93,True,48.90
2024-12-15T21:36:21Z,2024-12-16T05:36:24Z_image_compressed.heic,51041,4660,25,21,1.94,True,48.30
2024-12-15T21:45:51Z,2024-12-16T05:45:54Z_image_compressed.heic,51176,4746,25,22,2.01,True,48.30
2024-12-15T21:54:50Z,2024-12-16T05:54:53Z_image_compressed.heic,51072,4736,25,22,2.02,True,47.80
2024-12-15T22:04:11Z,2024-12-16T06:04:14Z_image_compressed.heic,328793,22127,25,99,8.62,True,49.40
2024-06-30T12:21:27Z,2024-06-30T19:21:29Z_image_compressed.heic,253563,14493,25,65,5.77,True,44.00
2025-08-13T22:37:03Z,2025-08-14T05:37:05Z_image_compressed.heic,333529,20514,25,92,7.91,True,44.50
2025-08-14T08:06:35Z,2025-08-14T15:06:37Z_image_compressed.heic,526056,36018,25,161,13.71,True,41.90
2025-08-14T08:39:42Z,2025-08-14T15:39:44Z_image_compressed.heic,94657,8445,25,38,3.33,True,42.90
2025-08-14T22:40:58Z,2025-08-15T05:41:00Z_image_compressed.heic,45933,2321,25,11,1.07,True,42.90
2025-08-18T00:00:33Z,2025-08-18T07:00:36Z_image_compressed.heic,44900,3260,25,15,1.41,True,44.00
2025-08-18T00:02:34Z,2025-08-18T07:02:36Z_image_compressed.heic,59622,6152,25,28,2.49,True,42.40
